BARRIO,CAPACIDAD,CLASE,COMUNA,CP,CPA,DIRECCION,DISPOSICION,ESTADO,ESTADO_OBESERVACIONES,FECHA_DE_ENTREGA_NUEVA_REVALIDA,FECHA_DE_NOTIFICACION,FECHA_DISPOSICION_DE_CAPACIDAD,FECHA_DISPOSICION_DE_RECHAZO,FECHA_DISP_INSCRIPCION,FECHA_DISP_RE_INSCRIPCION,FECHA_ENVIO,NOMBRE,NOTIFICADO,NUMERO_DIPS,NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD,NUMERO_DISP_DE_RECHAZO,NUMERO_EXPEDIENTE,NUMERO_REGISTRO,PERIODO,PISO,VENCIMIENTO,X,Y
PUERTO MADERO,214,CC,COMUNA 01,1107,C1107CBG,MANSO JUANA 305,101,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,11/06/2015, ,06/12/2007, ,06/12/2007,06/03/2014, ,ACQUA LOUNGE, ,25,101, ,19740/07,95,2016-SEM10,PLANTA BAJA,20/07/2015,-5.836.383.620.000.000,-3.460.149.429.999.990
ALMAGRO,2450,C,COMUNA 05,1181,C1181ACT,GASCON 1036,84,RENOVADO 2015, ,09/05/2016, ,20/12/2012, ,14/07/2005,23/11/2015, ,AMERIKA, ,110,158, ,10601/05,62,2016-SEM10, ,10/08/2016,-5.842.355.760.000.000,-3.459.868.980.000.000
FLORES,778,CC,COMUNA 07,1406,C1406AIA,NAZCA AV. 55,120,RENOVADO 2015, ,27/04/2016, ,09/10/2007, ,20/10/2010,23/10/2015, ,AMNESIA, ,102,91, ,10617/05,37,2016-SEM10, ,27/07/2016,-5.846.987.260.000.000,-3.462.993.680.000.000
BALVANERA,425,C,COMUNA 03,1056,C1056ABH,VIAMONTE 2168,44,RENOVADO 2015, , , , , , , , ,ANGEL´S DISCO, ,36,92, ,11627/05,41,2016-SEM10, , ,-5.839.811.490.000.000,-3.460.109.599.999.990
FLORES,216,CC,COMUNA 07,1406,C1406GMF,RIVADAVIA AV. 7523,12,RENOVADO 2015, ,17/12/2015, ,21/02/2006, ,21/02/2006,09/03/2015, ,ASBURY ROCK, ,17,12, ,36839/05,70,2016-SEM10, ,15/03/2016,-5.847.166.130.000.000,-3.463.114.749.999.990
PUERTO MADERO,622,C,COMUNA 01,1107,C1107CDA,"COSSETTINI, OLGA 751",25,RENOVADO 2016, ,20/04/2016, ,23/04/2007, ,10/03/2005,04/03/2016, ,ASIA DE CUBA, ,21,57, ,10642/05,22,2016-SEM10, ,20/07/2016,-5.836.403.709.999.990,-3.460.593.850.000.000
BALVANERA,622,C,COMUNA 03,1193,C1193AAS,CORRIENTES AV. 3328,16,BAJA INSC: DISP. 02/14 CONJUNTA, , , ,23/06/2006, ,03/03/2005,25/06/2013, ,AZUCAR ABASTO, ,116,88, ,12571/05,15,2016-SEM10, , ,-5.841.223.389.999.990,-3.460.418.119.999.990
BELGRANO,521,C,COMUNA 13,1428,C1428AAP,CABILDO AV. 2040,33,BAJA INSC: DISP. CONJUNTA NRO 47/2010, , , ,14/09/2007, ,16/03/2005,18/12/2009, ,AZUCAR BELGRANO, ,114,90, ,10832/05,30,2016-SEM10, , ,-5.845.630.239.999.990,-3.456.267.660.000.000
PALERMO,350,C,COMUNA 14,1188,C1188AAH,CORDOBA AV. 4175,63,INSCRIPCION 2015, ,01/06/2016, ,19/06/2015, ,19/06/2015, , ,AZUCAR PALERMO, , ,63, ,11847816,145,2016-SEM10, ,10/08/2016,-5.842.577.399.999.990,-3.459.661.359.999.990
SAN NICOLAS,880,C,COMUNA 01,1047,C1047AAG,LAVALLE 343,6,RENOVADO 2016, ,06/07/2016, ,06/11/2007, ,01/03/2005,18/02/2016, ,BAHREIN, ,10,95, ,11114/05,5,2016-SEM10, ,30/09/2016,-5.837.174.240.000.000,-3.460.195.190.000.000
SAAVEDRA,900,C,COMUNA 12,1431,C1431BJJ,"YRURTIA, ROGELIO 6020",7,SUSPENDIDO DISP. 108/09 CONJUNTA, , , ,23/06/2006, ,02/03/2005,25/06/2009, ,BELLA ROMA, ,73,86, ,10615/05,6,2016-SEM10, , ,-5.850.380.919.999.990,-3.456.425.219.999.990
FLORES,1260,C,COMUNA 07,1406,C1406GMR,RIVADAVIA AV. 7428,32,RENOVADO 2015, ,12/05/2016, ,17/03/2006, ,15/03/2005,10/06/2016, ,BELLAKEO NIGHT, ,60,35, ,10581/05,29,2016-SEM10, ,15/06/2016,-5.847.016.440.000.000,-3.463.095.890.000.000
RECOLETA,210,CC,COMUNA 02,1112,C1112AAI,AYACUCHO 1981,88,BAJA DE INSCRIPCION, , , ,31/08/2007, ,31/08/2007,27/08/2012, ,BLACK, ,115,88, ,28278/07,93,2016-SEM10, , ,-5.838.934.669.999.990,-345.877.762
PALERMO,333,CC,COMUNA 14,1414,C1414BFE,"VEGA, NICETO, CNEL. AV. 5699",47,RENOVADO 2015, ,27/05/2016, ,01/04/2009, ,01/04/2009,23/12/2015, ,BLOW, ,119,47, ,1965/09,104,2016-SEM10, ,21/08/2016,-584.401.674,-3.458.604.470.000.000
MONSERRAT,1950,C,COMUNA 01,1068,C1068AAA,PERU 535,93,RENOVADO 2015, ,01/06/2016, ,18/08/2011, ,18/08/2011,19/08/2015, ,BOUTIQUE, ,85,93, ,1241520/11,127,2016-SEM10, ,03/09/2016,-5.837.467.379.999.990,-3.461.419.250.000.000
CONSTITUCION,1646,C,COMUNA 01,1137,C1137ABB,O'BRIEN 1160,39,INSCRIPCION VENCIDA, , , ,21/10/2005, ,18/03/2005,16/03/2007, ,BRONCO, ,24,147, ,10827/05,36,2016-SEM10, , ,-583.818.932,-3.462.906.230.000.000
PALERMO,961,C,COMUNA 14,1414,C1414CWR,"JUSTO, JUAN B. AV. 1574",33,RENOVADO 2015, ,30/03/2016, ,27/03/2014, ,09/03/2012,01/04/2016, ,BROOK, ,35,49, ,407626/12,133,2016-SEM10, ,30/06/2016,-5.843.542.500.000.000,-345.860.135
PALERMO,264,C,COMUNA 14,1414,C1414DGB,"BORGES, JORGE LUIS 1640",94,RENOVADO 2015, ,06/07/2016, ,13/06/2013, ,17/07/2006,11/08/2015, ,BRUJAS, ,81,108, ,27022/05,79,2016-SEM10, ,30/09/2016,-5.843.001.730.000.000,-3.458.847.550.000.000
PALERMO,1764,C,COMUNA 14,,,"OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO",41,RENOVADO 2015, ,13/05/2016, ,28/09/2005, ,18/03/2005,18/03/2016, ,CAIX, ,25,134, ,10607/05,38,2016-SEM10, ,26/08/2016,-5.839.899.799.999.990,-3.457.004.229.999.990
